ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
329,Corticosteroid 11-beta-dehydrogenase isozyme 1,HSD11B1,179475,M76665,P28845,DHI1_HUMAN,1XU7; 1XU9; 2BEL; 2ILT; 2IRW; 2RBE; 3BYZ; 3BZU; 3CH6; 3CZR; 3D3E; 3D4N; 3D5Q; 3EY4; 3FCO; 3FRJ; 3H6K; 3HFG; 3OQ1; 3PDJ; 3QQP; 3TFQ; 4BB5; 4BB6; 4C7J; 4C7K; 4HFR; 4HX5; 4IJU; 4IJV; 4IJW; 4K1L; 4P38,,HSD11B1,HGNC:5208,Humans,DB04652
344,"Steroid 17-alpha-hydroxylase/17,20 lyase",CYP17A1,181342,M14564,P05093,CP17A_HUMAN,2C17; 3RUK; 3SWZ; 4NKV; 4NKW; 4NKX; 4NKY; 4NKZ,,CYP17A1,HGNC:2593,Humans,DB04630
465,Alcohol dehydrogenase 1C,ADH1C,28404,X04299,P00326,ADH1G_HUMAN,1DDA; 1HT0; 1U3W,,ADH1C,HGNC:251,Humans,DB14548
592,Aldo-keto reductase family 1 member C3,AKR1C3,4261711,S68288,P42330,AK1C3_HUMAN,1RY0; 1RY8; 1S1P; 1S1R; 1S2A; 1S2C; 1XF0; 1ZQ5; 2F38; 2FGB; 3R43; 3R58; 3R6I; 3R7M; 3R8G; 3R8H; 3R94; 3UFY; 3UG8; 3UGR; 3UWE; 4DBS; 4DBU; 4DBW; 4DZ5; 4FA3; 4FAL; 4FAM; 4H7C; 4HMN; 4WDT; 4WDU; 4WDW; 4WDX; 4WRH; 4XVD; 4XVE,,AKR1C3,HGNC:386,Humans,DB01536; DB01561
731,"Cytochrome P450 11B1, mitochondrial",CYP11B1,181333,M32879,P15538,C11B1_HUMAN,"",,CYP11B1,HGNC:2591,Humans,DB04630
735,Heme oxygenase 1,HMOX1,35173,X06985,P09601,HMOX1_HUMAN,1N3U; 1N45; 1NI6; 1OYK; 1OYL; 1OZE; 1OZL; 1OZR; 1OZW; 1S13; 1S8C; 1T5P; 1TWN; 1TWR; 1XJZ; 1XK0; 1XK1; 1XK2; 1XK3; 3CZY; 3HOK; 3K4F; 3TGM; 4WD4,,HMOX1,HGNC:5013,Humans,DB09221
816,Glutathione peroxidase 1,GPX1,577777,Y00433,P07203,GPX1_HUMAN,2F8A,,GPX1,HGNC:4553,Humans,DB09221
818,Glutathione S-transferase theta-1,GSTT1,510905,X79389,P30711,GSTT1_HUMAN,2C3N; 2C3Q; 2C3T,,GSTT1,HGNC:4641,Humans,DB09221
886,Bile salt sulfotransferase,SULT2A1,306702,L20000,Q06520,ST2A1_HUMAN,1EFH; 1J99; 1OV4; 2QP3; 2QP4; 3F3Y; 4IFB,,SULT2A1,HGNC:11458,Humans,DB09288
906,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",PCK1,189945,L05144,P35558,PCKGC_HUMAN,1KHB; 1KHE; 1KHF; 1KHG; 1M51; 1NHX; 2GMV,,PCK1,HGNC:8724,Humans,DB09338
907,"Peroxiredoxin-5, mitochondrial",PRDX5,6523289,AJ249483,P30044,PRDX5_HUMAN,1H4O; 1HD2; 1OC3; 1URM; 2VL2; 2VL3; 2VL9; 3MNG; 4K7I; 4K7N; 4K7O; 4MMM,,PRDX5,HGNC:9355,Humans,DB09221
927,Sulfotransferase 1A1,SULT1A1,179042,L10819,P50225,ST1A1_HUMAN,1LS6; 1Z28; 2D06; 3QVU; 3QVV; 3U3J; 3U3K; 3U3M; 3U3O; 3U3R; 4GRA,,SULT1A1,HGNC:11453,Humans,DB09288
951,Estrogen sulfotransferase,SULT1E1,488283,U08098,P49888,ST1E1_HUMAN,1G3M; 1HY3; 4JVL; 4JVM; 4JVN,,SULT1E1,HGNC:11377,Humans,DB09288; DB14635
1056,Glucokinase,GCK,179427,M88011,P35557,HXK4_HUMAN,1GLK; 1V4S; 1V4T; 3A0I; 3F9M; 3FGU; 3FR0; 3GOI; 3H1V; 3ID8; 3IDH; 3IMX; 3QIC; 3S41; 3VEV; 3VEY; 3VF6; 4DCH; 4DHY; 4ISE; 4ISF; 4ISG; 4IWV; 4IXC; 4L3Q; 4LC9; 4MLE; 4MLH; 4NO7; 4RCH,,GCK,HGNC:4195,Humans,DB09344
1075,Myeloperoxidase,MPO,189040,J02694,P05164,PERM_HUMAN,1CXP; 1D2V; 1D5L; 1D7W; 1DNU; 1DNW; 1MHL; 1MYP; 3F9P; 3ZS0; 3ZS1; 4C1M; 4DL1; 4EJX; 5FIW,,MPO,HGNC:7218,Humans,DB06111
1111,Cytochrome P450 1B1,CYP1B1,501031,U03688,Q16678,CP1B1_HUMAN,3PM0,,CYP1B1,HGNC:2597,Humans,DB14009; DB14737
1123,Carboxypeptidase E,CPE,29667,X51405,P16870,CBPE_HUMAN,"",,CPE,HGNC:2303,Humans,DB14548
1183,Insulin-degrading enzyme,IDE,184556,M21188,P14735,IDE_HUMAN,2G47; 2G48; 2G49; 2G54; 2G56; 2JBU; 2JG4; 2WBY; 2WC0; 2WK3; 2YPU; 3CWW; 3E4A; 3E4Z; 3E50; 3H44; 3HGZ; 3N56; 3N57; 3OFI; 3QZ2; 4DTT; 4DWK; 4GS8; 4GSC; 4GSF; 4IFH; 4IOF; 4LTE; 4M1C; 4NXO; 4PES; 4PF7; 4PF9; 4PFC; 4Q5Z; 4QIA; 4RAL; 4RE9,,IDE,HGNC:5381,Humans,DB14548
1262,Adenylate kinase isoenzyme 1,AK1,178322,J04809,P00568,KAD1_HUMAN,1Z83; 2C95,,AK1,HGNC:361,Humans,DB14126
1286,Benzoylformate decarboxylase,mdlC,3093419,AY143338,P20906,MDLC_PSEPU,1BFD; 1MCZ; 1PI3; 1PO7; 1Q6Z; 1YNO; 2FN3; 2FWN; 2V3W; 3F6B; 3F6E; 3FSJ; 3FZN; 4GG1; 4GM0; 4GM1; 4GM4; 4GP9; 4GPE; 4JD5; 4JU8; 4JU9; 4JUA; 4JUB; 4JUC; 4JUD; 4JUF; 4K9K; 4K9L; 4K9M; 4K9N; 4K9O; 4K9P; 4MPJ; 4MPP; 4MPR; 4MQ5; 4MZX; 4QEL; 5DEI; 5DGD; 5DGT,,,,Pseudomonas putida,DB01987
1354,Pyruvate oxidase,pox5,28272737,AL935262,P37063,POXB_LACPL,1POW; 1POX; 1Y9D; 2EZ4; 2EZ8; 2EZ9; 2EZT; 2EZU,,,,Lactobacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1),DB01987
1405,Queuine tRNA-ribosyltransferase,tgt,498141,L33777,P28720,TGT_ZYMMO,1EFZ; 1ENU; 1F3E; 1K4G; 1K4H; 1N2V; 1OZM; 1OZQ; 1P0B; 1P0D; 1P0E; 1PUD; 1PXG; 1Q2R; 1Q2S; 1Q4W; 1Q63; 1Q65; 1Q66; 1R5Y; 1S38; 1S39; 1WKD; 1WKE; 1WKF; 1Y5V; 1Y5W; 1Y5X; 2BBF; 2NQZ; 2NSO; 2OKO; 2POT; 2PWU; 2PWV; 2QII; 2QZR; 2Z1V; 2Z1W; 2Z1X; 2Z7K; 3BL3; 3BLD; 3BLL; 3BLO; 3C2Y; 3EOS; 3EOU; 3GC4; 3GC5; 3GE7; 3HFY; 3RR4; 3S1G; 3SM0; 3TLL; 3UNT; 3UVI; 4DXX; 4DY1; 4E2V; 4FPS; 4FR1; 4FR6; 4FSA; 4GCX; 4GD0; 4GG9; 4GH1; 4GH3; 4GHR; 4GI4; 4GIY; 4GKT; 4H6E; 4H7Z; 4HQV; 4HSH; 4HTB; 4HVX; 4IPP; 4JBR; 4KWO; 4L56; 4LBU; 4LEQ; 4PUJ; 4PUK; 4PUL; 4PUM; 4PUN; 4Q4M; 4Q4O; 4Q4P; 4Q4Q; 4Q4R; 4Q4S; 4Q8M; 4Q8N; 4Q8O; 4Q8P; 4Q8Q; 4Q8T; 4Q8U; 4Q8V; 4Q8W,,,,Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4),DB14732
1818,ATP-dependent 6-phosphofructokinase,pfkA,143312,M15643,P00512,PFKA_GEOSE,1MTO; 3PFK; 3U39; 4I36; 4I4I; 4I7E; 4PFK; 6PFK,,,,Geobacillus stearothermophilus,DB09344
2089,Catechol O-methyltransferase,COMT,180920,M65212,P21964,COMT_HUMAN,3A7E; 3BWM; 3BWY; 4PYI; 4PYJ; 4PYK; 4XUC; 4XUD; 4XUE,,COMT,HGNC:2228,Humans,DB15488
2090,Aromatase,CYP19A1,179002,M22246,P11511,CP19A_HUMAN,1TQA; 3EQM; 3S79; 3S7S; 4GL5; 4GL7; 4KQ8,,CYP19A1,HGNC:2594,Humans,DB00856
2151,Aromatic-L-amino-acid decarboxylase,DDC,181521,M76180,P20711,DDC_HUMAN,3RBF; 3RBL; 3RCH,,DDC,HGNC:2719,Humans,DB13848
2180,Cholinesterase,BCHE,1311630,M32391,P06276,CHLE_HUMAN,1EHO; 1EHQ; 1KCJ; 1P0I; 1P0M; 1P0P; 1P0Q; 1XLU; 1XLV; 1XLW; 2J4C; 2PM8; 2WID; 2WIF; 2WIG; 2WIJ; 2WIK; 2WIL; 2WSL; 2XMB; 2XMC; 2XMD; 2XMG; 2XQF; 2XQG; 2XQI; 2XQJ; 2XQK; 2Y1K; 3DJY; 3DKK; 3O9M; 4AQD; 4AXB; 4B0O; 4B0P; 4BBZ; 4BDS; 4TPK; 4XII,,BCHE,HGNC:983,Humans,DB00856; DB02845; DB03568; DB03822; DB03976; DB04250; DB09288; DB14031
2196,Amine oxidase [flavin-containing] B,MAOB,398415,S62734,P27338,AOFB_HUMAN,1GOS; 1H8R; 1OJ9; 1OJA; 1OJC; 1OJD; 1S2Q; 1S2Y; 1S3B; 1S3E; 2BK3; 2BK4; 2BK5; 2BYB; 2C64; 2C65; 2C66; 2C67; 2C70; 2C72; 2C73; 2C75; 2C76; 2V5Z; 2V60; 2V61; 2VRL; 2VRM; 2VZ2; 2XCG; 2XFN; 2XFO; 2XFP; 2XFQ; 2XFU; 3PO7; 3ZYX; 4A79; 4A7A; 4CRT,,MAOB,HGNC:6834,Humans,DB00614; DB02095; DB02211; DB02509; DB03894; DB04147; DB04307
2198,Amine oxidase [flavin-containing] A,MAOA,187353,M68840,P21397,AOFA_HUMAN,1H8Q; 2BXR; 2BXS; 2Z5X; 2Z5Y,,MAOA,HGNC:6833,Humans,DB00614; DB01445; DB09244; DB09245
2204,Xanthine dehydrogenase/oxidase,XDH,10336525,D11456,P47989,XDH_HUMAN,2CKJ; 2E1Q,,XDH,HGNC:12805,Humans,DB00127; DB00856; DB04335
2240,Glutamine synthetase,GLUL,31833,Y00387,P15104,GLNA_HUMAN,2OJW; 2QC8,,GLUL,HGNC:4341,Humans,DB00466
2281,Glutathione S-transferase A1,GSTA1,306809,M15872,P08263,GSTA1_HUMAN,1GSD; 1GSE; 1GSF; 1GUH; 1K3L; 1K3O; 1K3Y; 1LBK; 1PKW; 1PKZ; 1PL1; 1PL2; 1USB; 1XWG; 1YDK; 2R3X; 2R6K; 3I69; 3I6A; 3IK9; 3KTL; 3L0H; 3Q74; 3U6V; 3ZFB; 3ZFL; 4HJ2,,GSTA1,HGNC:4626,Humans,DB02486; DB02943; DB03602; DB04132
2362,Cytochrome P450 3A5,CYP3A5,181346,J04813,P20815,CP3A5_HUMAN,"",,CYP3A5,HGNC:2638,Humans,DB00764; DB01384; DB02520; DB08970; DB09231; DB11737; DB11750; DB13208; DB13728; DB13843; DB13867; DB14009; DB14538; DB14633; DB14634; DB14635; DB14646; DB14652; DB14659; DB14681; DB14737
2363,Cytochrome P450 2D6,CYP2D6,181350,M20403,P10635,CP2D6_HUMAN,2F9Q; 3QM4; 3TBG; 3TDA; 4WNT; 4WNU; 4WNV; 4WNW; 4XRY; 4XRZ,,CYP2D6,HGNC:2625,Humans,DB00234; DB00866; DB01071; DB01295; DB01429; DB01454; DB01466; DB01472; DB01562; DB04216; DB06726; DB06727; DB08807; DB08808; DB08922; DB09013; DB09288; DB11638; DB13174; DB13443; DB13508; DB13530; DB13679; DB13757; DB13775; DB13975; DB14009; DB14010; DB14635; DB14737
2364,NADPH--cytochrome P450 reductase,POR,247307,S90469,P16435,NCPR_HUMAN,1B1C; 3FJO; 3QE2; 3QFC; 3QFR; 3QFS; 3QFT,,POR,HGNC:9208,Humans,DB01466
2390,Superoxide dismutase [Cu-Zn],SOD1,,L44139,P00441,SODC_HUMAN,1AZV; 1BA9; 1DSW; 1FUN; 1HL4; 1HL5; 1KMG; 1L3N; 1MFM; 1N18; 1N19; 1OEZ; 1OZT; 1OZU; 1P1V; 1PTZ; 1PU0; 1RK7; 1SOS; 1SPD; 1UXL; 1UXM; 2AF2; 2C9S; 2C9U; 2C9V; 2GBT; 2GBU; 2GBV; 2LU5; 2MP3; 2NNX; 2R27; 2V0A; 2VR6; 2VR7; 2VR8; 2WKO; 2WYT; 2WYZ; 2WZ0; 2WZ5; 2WZ6; 2XJK; 2XJL; 2ZKW; 2ZKX; 2ZKY; 3CQP; 3CQQ; 3ECU; 3ECV; 3ECW; 3GQF; 3GTV; 3GZO; 3GZP; 3GZQ; 3H2P; 3H2Q; 3HFF; 3K91; 3KH3; 3KH4; 3LTV; 3QQD; 3RE0; 3T5W; 4A7G; 4A7Q; 4A7S; 4A7T; 4A7U; 4A7V; 4B3E; 4BCY; 4BCZ; 4BD4; 4FF9; 4MCM; 4MCN; 4NIN; 4NIO; 4NIP; 4OH2; 4SOD,,SOD1,HGNC:11179,Humans,DB09221; DB14009; DB14548
2433,Cytochrome P450 1A2,CYP1A2,,Z00036,P05177,CP1A2_HUMAN,2HI4,,CYP1A2,HGNC:2596,Humans,DB01094; DB01482; DB01667; DB02134; DB02489; DB04076; DB04216; DB04356; DB06732; DB08496; DB09198; DB09273; DB09288; DB11564; DB11737; DB12945; DB13174; DB13203; DB13261; DB13449; DB13573; DB13592; DB13634; DB13772; DB13812; DB13823; DB13975; DB14009; DB14029; DB14132; DB14635; DB14737
2436,Histamine N-methyltransferase,HNMT,,D16224,P50135,HNMT_HUMAN,1ICZ; 1JQD; 1JQE; 2AOT; 2AOU; 2AOV; 2AOW; 2AOX,,HNMT,HGNC:5028,Humans,DB01752
2443,Cytidine deaminase,CDA,,L27943,P32320,CDD_HUMAN,1MQ0,,CDA,HGNC:1712,Humans,DB03185
2561,Sulfotransferase family cytosolic 1B member 1,SULT1B1,"",D89479,O43704,ST1B1_HUMAN,2Z5F; 3CKL,,SULT1B1,HGNC:17845,Humans,DB14635
9090,Aminoglycoside 2'-N-acetyltransferase,aac,,,P9WQG9,AAC2_MYCTU,1M44; 1M4D; 1M4G; 1M4I,,,,Mycobacterium tuberculosis,DB03615
2638,Cytochrome P450 3A4,CYP3A4,"",M18907,P08684,CP3A4_HUMAN,1TQN; 1W0E; 1W0F; 1W0G; 2J0D; 2V0M; 3NXU; 3TJS; 3UA1; 4D6Z; 4D75; 4D78; 4D7D; 4I3Q; 4I4G; 4I4H; 4K9T; 4K9U; 4K9V; 4K9W; 4K9X; 4NY4; 5A1P; 5A1R,,CYP3A4,HGNC:2637,Humans,DB00234; DB00546; DB00764; DB00856; DB00954; DB01071; DB01134; DB01349; DB01352; DB01384; DB01456; DB01466; DB01536; DB01685; DB01698; DB02187; DB02520; DB02789; DB03010; DB03515; DB04070; DB04630; DB04652; DB04894; DB06739; DB07348; DB08496; DB08811; DB08833; DB08838; DB08922; DB08970; DB09166; DB09198; DB09199; DB09200; DB09201; DB09227; DB09229; DB09231; DB09234; DB09235; DB09239; DB09240; DB09288; DB09309; DB11737; DB11750; DB13208; DB13338; DB13345; DB13347; DB13385; DB13399; DB13409; DB13456; DB13488; DB13500; DB13528; DB13602; DB13685; DB13725; DB13728; DB13746; DB13766; DB13791; DB13835; DB13843; DB13857; DB13866; DB13867; DB13941; DB13950; DB13975; DB14009; DB14055; DB14063; DB14064; DB14065; DB14066; DB14068; DB14240; DB14538; DB14570; DB14583; DB14633; DB14634; DB14635; DB14637; DB14646; DB14652; DB14659; DB14678; DB14681; DB14737; DB15489; DB15490
2639,Pancreatic alpha-amylase,AMY2A,"",M18785,P04746,AMYP_HUMAN,1B2Y; 1BSI; 1CPU; 1HNY; 1KB3; 1KBB; 1KBK; 1KGU; 1KGW; 1KGX; 1U2Y; 1U30; 1U33; 1XCW; 1XCX; 1XD0; 1XD1; 1XGZ; 1XH0; 1XH1; 1XH2; 2CPU; 2QMK; 2QV4; 3BAI; 3BAJ; 3BAK; 3BAW; 3BAX; 3BAY; 3CPU; 3IJ7; 3IJ8; 3IJ9; 3OLD; 3OLE; 3OLG; 3OLI; 4GQQ; 4GQR; 4W93; 4X9Y,,AMY2A,HGNC:477,Humans,DB02379; DB03092; DB03439; DB03971; DB04453
2705,Liver carboxylesterase 1,CES1,"",M73499,P23141,EST1_HUMAN,1MX1; 1MX5; 1MX9; 1YA4; 1YA8; 1YAH; 1YAJ; 2DQY; 2DQZ; 2DR0; 2H7C; 2HRQ; 2HRR; 3K9B; 4AB1,,CES1,HGNC:1863,Humans,DB06693; DB14009; DB14737
2793,Cytochrome P450 2C9,CYP2C9,"",AY341248,P11712,CP2C9_HUMAN,1OG2; 1OG5; 1R9O; 4NZ2,,CYP2C9,HGNC:2623,Humans,DB01355; DB01685; DB04216; DB04557; DB04665; DB06737; DB06739; DB08496; DB08798; DB09198; DB09288; DB13174; DB13406; DB13675; DB13746; DB13919; DB13941; DB13975; DB14009; DB14055; DB14635; DB14737
2804,Deoxycytidine kinase,DCK,"",M60527,P27707,DCK_HUMAN,1P5Z; 1P60; 1P61; 1P62; 2A2Z; 2A30; 2A7Q; 2NO0; 2NO1; 2NO6; 2NO7; 2NO9; 2NOA; 2QRN; 2QRO; 2ZI3; 2ZI4; 2ZI5; 2ZI6; 2ZI7; 2ZI9; 2ZIA; 3HP1; 3IPX; 3IPY; 3KFX; 3MJR; 3QEJ; 3QEN; 3QEO; 4JLJ; 4JLK; 4JLM; 4JLN; 4KCG; 4L5B; 4Q18; 4Q19; 4Q1A; 4Q1B; 4Q1C; 4Q1D; 4Q1E; 4Q1F,,DCK,HGNC:2704,Humans,DB02594
2887,Cytochrome P450 2C8,CYP2C8,"",M17397,P10632,CP2C8_HUMAN,1PQ2; 2NNH; 2NNI; 2NNJ; 2VN0,,CYP2C8,HGNC:2622,Humans,DB00764; DB01685; DB04216; DB06739; DB08496; DB08922; DB09198; DB09199; DB09200; DB09201; DB13746; DB13867; DB13919; DB14009; DB14055; DB14538; DB16536
3074,Carbonyl reductase [NADPH] 1,CBR1,"",J04056,P16152,CBR1_HUMAN,1WMA; 2PFG; 3BHI; 3BHJ; 3BHM; 4Z3D,,CBR1,HGNC:1548,Humans,DB04463
3106,Nucleoside diphosphate kinase A,NME1,"",X75598,P15531,NDKA_HUMAN,1JXV; 1UCN; 2HVD; 2HVE; 3L7U; 4ENO,,NME1,HGNC:7849,Humans,DB14126
